tipo,ID,CIPI,nombre,desc
TURISTICA,AC20,AC20,San_Bernardo,San Bernardo
TURISTICA,AC21,AC21,Mar_de_Ajo,Mar De Ajo
TURISTICA,AC22,AC22,San_Clemente,San Clemente
TURISTICA,AC23,AC23,Miramar,Miramar
TURISTICA,AC24,AC24,La_Falda,La Falda
TURISTICA,AC25,AC25,Las_Grutas,Las Grutas
TURISTICA,AA11,AA11,Mar_del_Plata,Mar Del Plata
TURISTICA,AA70,AA70,Bariloche,Bariloche
TURISTICA,AA25,AA25,Villa_Gesell,Villa Gesell
TURISTICA,AB65,AB65,Villa_Carlos_Paz,Villa Carlos Paz
TURISTICA,AA80,AA80,Rio_Hondo,Rio Hondo
TURISTICA,AA61,AA61,Iguazu,Iguazu
TURISTICA,AA85,AA85,Rosario,Rosario
TURISTICA,AB09,AB09,Calafate,Calafate
TURISTICA,AB45,AB45,Necochea,Necochea
TURISTICA,AC07,AC07,Merlo,Merlo
TURISTICA,AB07,AB07,San_Rafael,San Rafael
TURISTICA,AA38,AA38,Puerto_Madryn,Puerto Madryn
TURISTICA,AB70,AB70, San Martin de los Andes,
INTRAMET,AC26,AC26,Quilmes,Quilmes
INTRAMET,AC27,AC27,Coperativos,Coperativos
INTRAMET,AC28,AC28,Epuyen,Epuyen
INTRAMET,AC29,AC29,Futalaufquen,Futalaufquen
INTRAMET,AC30,AC30,Paso_Coihaique,Paso Coihaique
INTRAMET,AC31,AC31,Paso_Las_Pampas,Paso Las Pampas
INTRAMET,AC32,AC32,Paso_Rio_Encuentro,Paso Rio Encuentro
INTRAMET,AC33,AC33,Paso_Rio_Frias,Paso Rio Frias
INTRAMET,AC34,AC34,Paso_Triana,Paso Triana
INTRAMET,AC35,AC35,Pto_Chucao,Pto Chucao
INTRAMET,AC36,AC36,Trevelin,Trevelin
INTRAMET,AC37,AC37,Las_Leñas,Las Leñas
INTRAMET,AC38,AC38,Paso_Portillo_Piuque,Paso Portillo Piuque
INTRAMET,AA68,AA68,Chapelco,Chapelco
INTRAMET,AC39,AC39,Paso_Card_Samore,Paso Card Samore
INTRAMET,AC40,AC40,Paso_Carirrine,Paso Carirrine
INTRAMET,AC41,AC41,Paso_Huahum,Paso Huahum
INTRAMET,AC42,AC42,Paso_Icalma,Paso Icalma
INTRAMET,AC43,AC43,Paso_Mamuil_Malal,Paso Mamuil Malal
INTRAMET,AC44,AC44,Paso_Pichachen,Paso Pichachen
INTRAMET,AC45,AC45,Paso_Pino_Hachado,Paso Pino Hachado
INTRAMET,AC46,AC46,Villa_Pehuenia,Villa Pehuenia
INTRAMET,AC47,AC47,Paso_Perez_Rosales,Paso Perez Rosales
INTRAMET,AC48,AC48,Paso_Rio_Manso,Paso Rio Manso
INTRAMET,AC49,AC49,Paso_Vuriloche,Paso Vuriloche
INTRAMET,AC50,AC50,Paso_Socompa,Paso Socompa
INTRAMET,AC51,AC51,Paso_Pascua_Lama,Paso Pascua Lama
INTRAMET,AC52,AC52,Tafi_del_Valle,Tafi Del Valle
WEB,AA15,AA15,CABA,CABA
WEB,AA09,AA09,LA_PLATA,LA PLATA
WEB,AC18,AC18,PINAMAR,PINAMAR
WEB,AC19,AC19,COLON,COLON
WEB,AC20,AC20,SAN_BERNARDO,SAN BERNARDO
WEB,AC21,AC21,MAR_DE_AJO,MAR DE AJO
WEB,AC22,AC22,SAN_CLEMENTE,SAN CLEMENTE
WEB,AC23,AC23,MIRAMAR,MIRAMAR
WEB,AC24,AC24,LA_FALDA,LA FALDA
WEB,AC25,AC25,LAS_GRUTAS,LAS GRUTAS
WEB,AA11,AA11,MAR_DEL_PLATA,MAR DEL PLATA
WEB,AA70,AA70,BARILOCHE,BARILOCHE
WEB,AA25,AA25,VILLA_GESELL,VILLA GESELL
WEB,AB65,AB65,VILLA_CARLOS_PAZ,VILLA CARLOS PAZ
WEB,AA80,AA80,RIO_HONDO,TERMAS RIO HONDO
WEB,AA61,AA61,IGUAZU,PUERTO IGUAZU
WEB,AA85,AA85,ROSARIO,ROSARIO
WEB,AB09,AB09,EL_CALAFATE,EL CALAFATE
WEB,AB45,AB45,NECOCHEA,NECOCHEA
WEB,AC07,AC07,MERLO,MERLO
WEB,AB07,AB07,SAN_RAFAEL,SAN RAFAEL
WEB,AA38,AA38,PUERTO_MADRYN,PUERTO MADRYN
WEB,AB70,AB70,SM_DE_LOS_ANDES,SAN MARTIN DE LOS ANDES
WEB,AA44,AA44,SAN_FERNANDO_DEL_VALLE_DE_CATAMARCA,SAN FERNANDO DEL VALLE DE CATAMARCA
WEB,AA34,AA34,RESISTENCIA,RESISTENCIA
WEB,AC16,AC16,RAWSON,RAWSON
WEB,AA27,AA27,CORDOBA,CORDOBA
WEB,AA39,AA39,CORRIENTES,CORRIENTES
WEB,AA48,AA48,PARANA,PARANA
WEB,AA49,AA49,FORMOSA,FORMOSA
WEB,AA52,AA52,SAN_SALVADOR_DE_JUJUY,SAN SALVADOR DE JUJUY
WEB,AA55,AA55,SANTA_ROSA,SANTA ROSA
WEB,AA59,AA59,LA_RIOJA,LA RIOJA
WEB,AA66,AA66,MENDOZA,MENDOZA
WEB,AA63,AA63,POSADAS,POSADAS
WEB,AA69,AA69,NEUQUEN,NEUQUEN
WEB,AB08,AB08,VIEDMA,VIEDMA
WEB,AA76,AA76,SALTA,SALTA
WEB,AA89,AA89,SAN_JUAN,SAN JUAN
WEB,AA79,AA79,RIO_GALLEGOS,RIO GALLEGOS
WEB,AA86,AA86,SANTA_FE,SANTA FE
WEB,AA81,AA81,SANTIAGO_DEL_ESTERO,SANTIAGO DEL ESTERO
WEB,AB04,AB04,USHUAIA,USHUAIA
WEB,AB05,AB05,SAN_MIGUEL_DE_TUCUMAN,SAN MIGUEL DE TUCUMAN
WEB,AA90,AA90,SAN_LUIS,SAN_LUIS
