Tipo,ID,Nombre,Descripcion,Lat,Lon,Altura
PIMET,3331,SAN_FERNANDO_DEL_VALLE_DE_CAT,San Fernando Del Valle De Cat,-28.59,-65.76,
PIMET,3333,QUINES,Quines,-32.23,-65.8,
PIMET,3334,CORDILLERA_MENDOZA_SUR,Cordillera Mendoza Sur,-35.98,-70.39,
PIMET,3335,CORDILLERA_CATAMARCA,Cordillera Catamarca,-26.87,-68.3,
PIMET,3336,CORDILLERA_JUJUY,Cordillera Jujuy,-23.23,-67.07,
PIMET,3337,CORDILLERA_MENDOZA_CENTRO,Cordillera Mendoza Centro,-34.23,-69.8,
PIMET,3338,CORDILLERA_MENDOZA_NORTE,Cordillera Mendoza Norte,-32.82,-70.07,
PIMET,3339,CORDILLERA_SALTA,Cordillera Salta,-23.84,-67.26,
PIMET,3340,CORDILLERA_SAN_JUAN_NORTE,Cordillera San Juan Norte,-30.2,-69.82,
PIMET,3341,CORDILLERA_SAN_JUAN_SUR,Cordillera San Juan Sur,-30.67,-70.23,
PIMET,3343,BUENA_ESPERANZA,Buena Esperanza,-34.76,-65.25,
PIMET,3344,IRUYA,Iruya,-22.79,-65.22,
PIMET,3346,SAN_SALVADOR_DE_JUJUY,San Salvador De Jujuy,-24.18,-65.33,
PIMET,3347,LA_QUIACA,La Quiaca,-22.1,-65.6,
PIMET,3349,RIVADAVIA,Rivadavia,-24.19,-62.89,
PIMET,3350,MALARGUE,Malargue,-35.48,-69.58,
PIMET,3352,MENDOZA,Mendoza,-32.84,-68.8,
PIMET,3354,METAN,Metan,-25.48,-64.8,
PIMET,3356,SAN_ANTONIO_DE_LOS_COBRES,San Antonio De Los Cobres,-24.22,-66.32,
PIMET,3357,HUMAHUACA,Humahuaca,-23.2,-65.35,
PIMET,3358,MERLO,Merlo,-32.33,-65.02,
PIMET,3359,SALTA,Salta,-24.84,-65.48,
PIMET,3360,SAN_CARLOS,San Carlos,-33.77,-69.04,
PIMET,3362,SAN_LUIS,San Luis,-33.27,-66.35,
PIMET,3363,SIERRAS_SAN_LUIS,Sierras San Luis,-33.11,-66.06,
PIMET,3364,SAN_MARTIN,San Martin,-33.07,-68.46,
PIMET,3365,SAN_RAFAEL,San Rafael,-34.59,-68.4,
PIMET,3366,SANTA_ROSA_DE_CONLARA,Santa Rosa De Conlara,-32.38,-65.18,
PIMET,3369,SUSQUES,Susques,-23.4,-66.37,
PIMET,3370,TARTAGAL,Tartagal,-22.62,-63.8,
PIMET,3371,TINOGASTA,Tinogasta,-28.07,-67.57,
PIMET,3373,SAN_MIGUEL_DE_TUCUMAN,San Miguel De Tucuman,-26.84,-65.11,
PIMET,3374,USPALLATA,Uspallata,-32.59,-69.34,
PIMET,3375,SANTA_MARIA,Santa Maria,-26.7,-66.05,
PIMET,3378,VILLA_REYNOLDS,Villa Reynolds,-33.72,-65.37,
PIMET,3379,LA_RIOJA,La Rioja,-29.38,-66.79,
PIMET,3380,CUMBRES_CALCHAQUIES,Cumbres Calchaquies,-27.17,-65.98,
PIMET,3381,CHAMICAL,Chamical,-30.35,-66.3,
PIMET,3382,CHEPES,Chepes,-31.33,-66.59,
PIMET,3383,CHILECITO,Chilecito,-29.22,-67.44,
PIMET,3384,CORDILLERA_LA_RIOJA,Cordillera La Rioja,-28.08,-69.3,
PIMET,3388,ANTOFAGASTA_DE_LA_SIERRA,Antofagasta De La Sierra,-26.07,-67.42,
PIMET,3390,BERNARDO_DE_IRIGOYEN,Bernardo De Irigoyen,-26.28,-53.67,
PIMET,3396,CONCORDIA,Concordia,-31.3,-58,
PIMET,3400,CORRIENTES,Corrientes,-27.45,-58.76,
PIMET,3402,IGUAZU,Iguazu,-25.73,-54.48,
PIMET,3406,GUALEGUAYCHU,Gualeguaychu,-33.01,-58.61,
PIMET,3408,ITUZAINGO,Ituzaingo,-27.59,-56.68,
PIMET,3416,MERCEDES,Mercedes,-29.23,-58.09,
PIMET,3417,MONTE_CASEROS,Monte Caseros,-30.26,-57.64,
PIMET,3420,OBERA,Obera,-27.48,-55.13,
PIMET,3423,PARANA,Parana,-31.79,-60.48,
PIMET,3424,PASO_DE_LOS_LIBRES,Paso De Los Libres,-29.69,-57.15,
PIMET,3427,POSADAS,Posadas,-27.39,-55.97,
